Bias motivation,2005,2006,2007,2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019
Total,6804,7330,6965,6927,6225,6008,5731,5814,5192,5493,5770,6370,6266,6406
Single-Bias Incidents,6800,7324,6962,6921,6219,6001,5724,5808,5176,5475,5727,6307,6188,6268
Race:,5028,5166,4862,4757,4175,3821,3536,3476,3099,3196,3383,3747,3634,3550
Anti-White,963,1074,828,811,753,649,594,680,635,681,831,758,754,645
Anti-Black,2581,2437,2509,2596,2160,1974,1935,1747,1442,1605,1588,1742,1707,1682
Anti-Native American,73,72,63,61,88,43,60,108,108,113,118,228,163,101
Anti-Asian,163,181,165,140,108,156,120,130,187,108,123,108,125,153
Arab,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,60,100,80,86
Anti-Hispanic,691,802,758,711,649,593,452,418,325,325,380,491,495,547
Anti-Other Ethnicity,424,407,397,323,285,294,297,325,343,243,171,210,204,228
Anti-Multiple Races,133,193,142,115,132,112,78,61,56,83,104,100,91,82
Religion:,580,705,576,632,586,606,590,682,687,809,859,1009,917,1012
Anti-Jewish,364,362,320,353,353,346,287,393,380,387,421,523,484,602
Anti-Catholic,22,44,31,35,25,22,21,72,35,29,45,59,36,42
Anti-Protestant,32,35,22,34,17,6,32,17,12,18,12,15,22,19
Anti-Islamic,89,147,104,85,95,125,138,127,148,228,243,231,153,145
Anti-Other Religion,54,63,62,90,51,72,74,44,70,53,53,56,60,56
Anti-Multiple Religions,18,49,32,33,38,30,37,25,29,30,20,35,18,26
Anti-Atheism,1,5,5,2,7,5,1,4,13,0,4,6,13,5
Sexual Orientation:,1138,1380,1454,1460,1394,1516,1511,1514,1154,1221,1225,1250,1268,1250
Anti-Male Homosexual,715,914,923,921,817,904,978,975,732,803,806,778,841,828
Anti-Female Homosexual,146,154,147,156,197,152,123,174,126,142,127,129,105,107
Anti-Homosexual,237,268,349,336,349,412,362,324,249,218,254,282,294,279
Anti-Heterosexual,18,26,19,25,14,21,19,20,10,19,13,28,13,14
Anti-Bisexual,22,18,16,22,17,27,29,21,37,39,25,33,15,22
Disability:,54,73,70,72,64,58,87,77,74,73,67,124,151,156
Anti-Physical,21,17,27,26,25,28,29,23,25,40,29,31,52,33
Anti-Mental,33,56,43,46,39,30,58,54,49,33,38,93,99,123
Gender:,-1,-1,-1,-1,-1,-1,-1,20,25,19,28,40,38,67
Anti-Male,-1,-1,-1,-1,-1,-1,-1,7,10,6,7,21,21,17
Anti-Female,-1,-1,-1,-1,-1,-1,-1,13,15,13,21,19,17,50
Gender Identity:,-1,-1,-1,-1,-1,-1,-1,39,137,157,165,137,180,233
Anti-Transgender,-1,-1,-1,-1,-1,-1,-1,30,104,114,149,127,156,190
Anti-Gender Non-Conforming,-1,-1,-1,-1,-1,-1,-1,9,33,43,16,10,24,43
Multiple-Bias Incidents3,4,6,3,6,6,7,7,6,16,18,43,63,78,138
